date,control_point,arrive_resident,arrive_mainland,arrive_others,arrive_total,departure_resident,departure_mainland,departure_others,departure_total
2020-01-25,Airport,14907,8489,10953,34349,58711,5326,7335,71372
2020-01-25,Express Rail Link West Kowloon,1852,2278,285,4415,8489,2089,224,10802
2020-01-25,Hung Hom,575,176,67,818,1509,153,53,1715
2020-01-25,Lo Wu,20716,4368,317,25401,39692,5468,347,45507
2020-01-25,Lok Ma Chau Spur Line,12511,3237,117,15865,16675,3347,155,20177
2020-01-25,Hong Kong-Zhuhai-Macao Bridge,9121,2682,2339,14142,13570,2949,1830,18349
2020-01-25,Lok Ma Chau,7187,2662,234,10083,10351,3163,195,13709
2020-01-25,Man Kam To,753,262,12,1027,895,203,5,1103
2020-01-25,Sha Tau Kok,923,208,19,1150,1702,165,38,1905
2020-01-25,Shenzhen Bay,9834,4540,532,14906,20440,4993,451,25884
2020-01-25,China Ferry Terminal,1183,463,499,2145,2233,406,415,3054
2020-01-25,Harbour Control,2,0,89,91,2,0,2,4
2020-01-25,Kai Tak Cruise Terminal,168,25,2315,2508,2997,129,2521,5647
2020-01-25,Macau Ferry Terminal,6118,490,1355,7963,8120,378,1048,9546
2020-01-25,Tuen Mun Ferry Terminal,567,11,44,622,782,19,14,815
2020-01-26,Airport,22646,10955,7522,41123,47580,7870,8813,64263
2020-01-26,Express Rail Link West Kowloon,7481,2481,415,10377,2360,2875,300,5535
2020-01-26,Hung Hom,2237,272,137,2646,575,307,54,936
2020-01-26,Lo Wu,44781,4994,406,50181,22105,6754,348,29207
2020-01-26,Lok Ma Chau Spur Line,19606,3816,265,23687,10678,4376,226,15280
2020-01-26,Hong Kong-Zhuhai-Macao Bridge,12967,2486,2311,17764,10182,3053,2082,15317
2020-01-26,Lok Ma Chau,10754,3119,362,14235,7058,3642,240,10940
2020-01-26,Man Kam To,1093,345,24,1462,709,324,5,1038
2020-01-26,Sha Tau Kok,2077,284,40,2401,1058,312,48,1418
2020-01-26,Shenzhen Bay,26235,6051,868,33154,9524,7404,529,17457
2020-01-26,China Ferry Terminal,2418,522,501,3441,1391,603,504,2498
2020-01-26,Harbour Control,0,0,256,256,0,0,0,0
2020-01-26,Kai Tak Cruise Terminal,2510,806,2251,5567,1000,394,317,1711
2020-01-26,Macau Ferry Terminal,8216,554,1325,10095,6571,379,1284,8234
2020-01-26,Tuen Mun Ferry Terminal,647,5,24,676,605,7,28,640
2020-01-27,Airport,36215,10309,6764,53288,41316,8203,11319,60838
2020-01-27,Express Rail Link West Kowloon,10913,1887,421,13221,1167,2790,246,4203
2020-01-27,Hung Hom,2025,221,116,2362,244,308,54,606
2020-01-27,Lo Wu,43145,3643,387,47175,13999,5193,387,19579
2020-01-27,Lok Ma Chau Spur Line,17463,2863,203,20529,7787,3592,175,11554
2020-01-27,Hong Kong-Zhuhai-Macao Bridge,14306,1998,1998,18302,7369,2822,2088,12279
2020-01-27,Lok Ma Chau,10708,1945,356,13009,5174,3655,233,9062
2020-01-27,Man Kam To,1280,281,12,1573,569,324,5,898
2020-01-27,Sha Tau Kok,2212,189,36,2437,617,337,81,1035
2020-01-27,Shenzhen Bay,27513,4507,759,32779,5065,6538,598,12201
2020-01-27,China Ferry Terminal,3124,477,431,4032,944,530,411,1885
2020-01-27,Harbour Control,69,0,32,101,28,0,25,53
2020-01-27,Kai Tak Cruise Terminal,638,56,12,706,706,66,2190,2962
2020-01-27,Macau Ferry Terminal,7258,394,1271,8923,4981,343,1094,6418
2020-01-27,Tuen Mun Ferry Terminal,601,10,18,629,511,2,24,537
2020-01-28,Airport,54491,7187,5422,67100,41100,8306,12151,61557
2020-01-28,Express Rail Link West Kowloon,13133,1828,322,15283,864,2499,212,3575
2020-01-28,Hung Hom,1754,194,64,2012,203,316,56,575
2020-01-28,Lo Wu,39880,3633,381,43894,12598,4654,290,17542
2020-01-28,Lok Ma Chau Spur Line,17313,2575,194,20082,7253,3018,175,10446
2020-01-28,Hong Kong-Zhuhai-Macao Bridge,12420,1551,1534,15505,5417,1795,1625,8837
2020-01-28,Lok Ma Chau,10279,1831,329,12439,4780,2722,202,7704
2020-01-28,Man Kam To,1551,283,4,1838,582,269,3,854
2020-01-28,Sha Tau Kok,2173,245,66,2484,433,210,58,701
2020-01-28,Shenzhen Bay,26094,4217,738,31049,3797,5022,513,9332
2020-01-28,China Ferry Terminal,2761,314,222,3297,509,371,323,1203
2020-01-28,Harbour Control,17,0,34,51,1,0,12,13
2020-01-28,Kai Tak Cruise Terminal,705,56,8,769,427,75,6,508
2020-01-28,Macau Ferry Terminal,5745,238,912,6895,3634,288,864,4786
2020-01-28,Tuen Mun Ferry Terminal,472,4,18,494,306,1,27,334
2020-01-29,Airport,50292,9196,5871,65359,33880,7550,10514,51944
2020-01-29,Express Rail Link West Kowloon,20022,1817,403,22242,1195,3524,261,4980
2020-01-29,Hung Hom,2038,201,87,2326,222,462,79,763
2020-01-29,Lo Wu,44426,4343,485,49254,13519,5099,350,18968
2020-01-29,Lok Ma Chau Spur Line,19574,3003,323,22900,8304,3414,245,11963
2020-01-29,Hong Kong-Zhuhai-Macao Bridge,10793,1363,1168,13324,4213,1588,1479,7280
2020-01-29,Lok Ma Chau,11236,1900,385,13521,5371,3111,252,8734
2020-01-29,Man Kam To,1459,293,11,1763,629,308,10,947
2020-01-29,Sha Tau Kok,2739,320,61,3120,517,311,87,915
2020-01-29,Shenzhen Bay,26892,4695,996,32583,4398,6648,678,11724
2020-01-29,China Ferry Terminal,3138,320,271,3729,522,497,266,1285
2020-01-29,Harbour Control,0,0,41,41,0,0,0,0
2020-01-29,Kai Tak Cruise Terminal,427,75,10,512,372,49,21,442
2020-01-29,Macau Ferry Terminal,4223,250,869,5342,3211,223,877,4311
2020-01-29,Tuen Mun Ferry Terminal,313,4,17,334,293,1,24,318
2020-01-30,Airport,46214,9907,5530,61651,31072,7122,9882,48076
2020-01-30,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-01-30,Hung Hom,0,0,0,0,0,0,0,0
2020-01-30,Lo Wu,30427,2470,308,33205,13178,3893,294,17365
2020-01-30,Lok Ma Chau Spur Line,15978,1711,205,17894,8048,2570,168,10786
2020-01-30,Hong Kong-Zhuhai-Macao Bridge,7032,946,923,8901,3554,1360,1155,6069
2020-01-30,Lok Ma Chau,9186,1430,312,10928,4706,3386,322,8414
2020-01-30,Man Kam To,0,0,0,0,0,0,0,0
2020-01-30,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-01-30,Shenzhen Bay,17109,2785,660,20554,3707,6196,660,10563
2020-01-30,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-01-30,Harbour Control,1,0,69,70,0,0,22,22
2020-01-30,Kai Tak Cruise Terminal,2921,134,161,3216,682,52,1761,2495
2020-01-30,Macau Ferry Terminal,3638,172,694,4504,3132,249,806,4187
2020-01-30,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-01-31,Airport,49093,7817,5089,61999,28231,5737,7599,41567
2020-01-31,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-01-31,Hung Hom,0,0,0,0,0,0,0,0
2020-01-31,Lo Wu,24064,1960,257,26281,13695,2845,267,16807
2020-01-31,Lok Ma Chau Spur Line,14044,1518,181,15743,8490,1939,163,10592
2020-01-31,Hong Kong-Zhuhai-Macao Bridge,5754,653,883,7290,3626,897,1078,5601
2020-01-31,Lok Ma Chau,7807,1200,225,9232,4879,2598,302,7779
2020-01-31,Man Kam To,0,0,0,0,0,0,0,0
2020-01-31,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-01-31,Shenzhen Bay,11541,2412,567,14520,3727,4789,632,9148
2020-01-31,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-01-31,Harbour Control,2,0,330,332,2,0,9,11
2020-01-31,Kai Tak Cruise Terminal,828,377,91,1296,1603,65,242,1910
2020-01-31,Macau Ferry Terminal,3411,121,634,4166,3253,124,660,4037
2020-01-31,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-01,Airport,55976,5703,4567,66246,28798,5072,8046,41916
2020-02-01,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-01,Hung Hom,0,0,0,0,0,0,0,0
2020-02-01,Lo Wu,21578,1883,276,23737,13759,2347,234,16340
2020-02-01,Lok Ma Chau Spur Line,12975,1505,165,14645,8541,1805,139,10485
2020-02-01,Hong Kong-Zhuhai-Macao Bridge,4926,632,1021,6579,3259,784,1339,5382
2020-02-01,Lok Ma Chau,6674,1134,236,8044,4940,1855,179,6974
2020-02-01,Man Kam To,0,0,0,0,0,0,0,0
2020-02-01,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-01,Shenzhen Bay,9788,2429,505,12722,3378,3425,499,7302
2020-02-01,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-01,Harbour Control,0,0,60,60,0,0,5,5
2020-02-01,Kai Tak Cruise Terminal,25,8,2334,2367,129,6,1965,2100
2020-02-01,Macau Ferry Terminal,3180,88,596,3864,3043,105,550,3698
2020-02-01,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-02,Airport,59083,4649,3762,67494,25570,4360,6898,36828
2020-02-02,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-02,Hung Hom,0,0,0,0,0,0,0,0
2020-02-02,Lo Wu,13138,1159,190,14487,6575,1392,151,8118
2020-02-02,Lok Ma Chau Spur Line,17716,1739,177,19632,9832,2902,209,12943
2020-02-02,Hong Kong-Zhuhai-Macao Bridge,5108,487,804,6399,3165,649,1270,5084
2020-02-02,Lok Ma Chau,10954,1272,254,12480,4362,1820,234,6416
2020-02-02,Man Kam To,0,0,0,0,0,0,0,0
2020-02-02,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-02,Shenzhen Bay,11706,2253,606,14565,2968,3130,454,6552
2020-02-02,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-02,Harbour Control,0,0,184,184,0,0,0,0
2020-02-02,Kai Tak Cruise Terminal,1637,58,53,1748,2172,22,241,2435
2020-02-02,Macau Ferry Terminal,3057,98,369,3524,2697,110,486,3293
2020-02-02,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-03,Airport,41208,6996,3846,52050,21704,3596,5428,30728
2020-02-03,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-03,Hung Hom,0,0,0,0,0,0,0,0
2020-02-03,Lo Wu,27196,1873,368,29437,14938,3078,320,18336
2020-02-03,Lok Ma Chau Spur Line,17037,1038,242,18317,10113,1815,205,12133
2020-02-03,Hong Kong-Zhuhai-Macao Bridge,3595,358,674,4627,3023,723,849,4595
2020-02-03,Lok Ma Chau,9823,1206,281,11310,5461,2150,190,7801
2020-02-03,Man Kam To,0,0,0,0,0,0,0,0
2020-02-03,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-03,Shenzhen Bay,8284,1871,504,10659,3960,3754,486,8200
2020-02-03,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-03,Harbour Control,0,0,25,25,0,0,29,29
2020-02-03,Kai Tak Cruise Terminal,330,22,6,358,203,21,4,228
2020-02-03,Macau Ferry Terminal,3560,97,564,4221,3333,109,589,4031
2020-02-03,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-04,Airport,31173,6317,3647,41137,20187,3550,4471,28208
2020-02-04,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-04,Hung Hom,0,0,0,0,0,0,0,0
2020-02-04,Lo Wu,0,0,0,0,0,0,0,0
2020-02-04,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-04,Hong Kong-Zhuhai-Macao Bridge,4555,402,1020,5977,3177,985,1020,5182
2020-02-04,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-04,Man Kam To,0,0,0,0,0,0,0,0
2020-02-04,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-04,Shenzhen Bay,18852,2771,786,22409,10838,6731,809,18378
2020-02-04,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-04,Harbour Control,33,0,30,63,30,0,33,63
2020-02-04,Kai Tak Cruise Terminal,203,21,2,226,173,10,2,185
2020-02-04,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-04,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-05,Airport,24832,6041,3592,34465,22297,2591,4404,29292
2020-02-05,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-05,Hung Hom,0,0,0,0,0,0,0,0
2020-02-05,Lo Wu,0,0,0,0,0,0,0,0
2020-02-05,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-05,Hong Kong-Zhuhai-Macao Bridge,3172,329,1121,4622,2025,925,885,3835
2020-02-05,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-05,Man Kam To,0,0,0,0,0,0,0,0
2020-02-05,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-05,Shenzhen Bay,16387,2378,714,19479,11893,6359,837,19089
2020-02-05,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-05,Harbour Control,0,0,0,0,0,0,0,0
2020-02-05,Kai Tak Cruise Terminal,175,12,31,218,2,2,0,4
2020-02-05,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-05,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-06,Airport,21261,5728,3478,30467,22252,2512,4222,28986
2020-02-06,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-06,Hung Hom,0,0,0,0,0,0,0,0
2020-02-06,Lo Wu,0,0,0,0,0,0,0,0
2020-02-06,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-06,Hong Kong-Zhuhai-Macao Bridge,4941,468,1188,6597,2608,1068,834,4510
2020-02-06,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-06,Man Kam To,0,0,0,0,0,0,0,0
2020-02-06,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-06,Shenzhen Bay,38920,4813,1220,44953,21360,7071,1197,29628
2020-02-06,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-06,Harbour Control,0,0,0,0,0,0,0,0
2020-02-06,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-06,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-06,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-07,Airport,19694,5563,3556,28813,21417,2735,4012,28164
2020-02-07,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-07,Hung Hom,0,0,0,0,0,0,0,0
2020-02-07,Lo Wu,0,0,0,0,0,0,0,0
2020-02-07,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-07,Hong Kong-Zhuhai-Macao Bridge,6699,628,1340,8667,2576,1102,798,4476
2020-02-07,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-07,Man Kam To,0,0,0,0,0,0,0,0
2020-02-07,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-07,Shenzhen Bay,50506,6555,1441,58502,16746,7282,1320,25348
2020-02-07,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-07,Harbour Control,0,0,0,0,0,0,0,0
2020-02-07,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-07,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-07,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-08,Airport,17956,943,3070,21969,20163,1127,3253,24543
2020-02-08,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-08,Hung Hom,0,0,0,0,0,0,0,0
2020-02-08,Lo Wu,0,0,0,0,0,0,0,0
2020-02-08,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-08,Hong Kong-Zhuhai-Macao Bridge,659,9,508,1176,750,163,442,1355
2020-02-08,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-08,Man Kam To,0,0,0,0,0,0,0,0
2020-02-08,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-08,Shenzhen Bay,208,43,3,254,1291,1351,549,3191
2020-02-08,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-08,Harbour Control,0,0,0,0,0,0,0,0
2020-02-08,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-08,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-08,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-09,Airport,22077,913,2591,25581,17782,971,3200,21953
2020-02-09,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-09,Hung Hom,0,0,0,0,0,0,0,0
2020-02-09,Lo Wu,0,0,0,0,0,0,0,0
2020-02-09,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-09,Hong Kong-Zhuhai-Macao Bridge,710,7,493,1210,1185,167,524,1876
2020-02-09,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-09,Man Kam To,0,0,0,0,0,0,0,0
2020-02-09,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-09,Shenzhen Bay,314,36,3,353,1802,1303,573,3678
2020-02-09,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-09,Harbour Control,0,0,0,0,0,0,0,0
2020-02-09,Kai Tak Cruise Terminal,1838,0,33,1871,0,0,0,0
2020-02-09,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-09,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-10,Airport,17139,766,2037,19942,15550,535,3219,19304
2020-02-10,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-10,Hung Hom,0,0,0,0,0,0,0,0
2020-02-10,Lo Wu,0,0,0,0,0,0,0,0
2020-02-10,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-10,Hong Kong-Zhuhai-Macao Bridge,808,10,496,1314,1508,137,444,2089
2020-02-10,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-10,Man Kam To,0,0,0,0,0,0,0,0
2020-02-10,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-10,Shenzhen Bay,461,56,4,521,1835,1016,185,3036
2020-02-10,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-10,Harbour Control,0,0,0,0,0,0,0,0
2020-02-10,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-10,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-10,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-11,Airport,14663,647,2107,17417,12645,481,2556,15682
2020-02-11,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-11,Hung Hom,0,0,0,0,0,0,0,0
2020-02-11,Lo Wu,0,0,0,0,0,0,0,0
2020-02-11,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-11,Hong Kong-Zhuhai-Macao Bridge,729,11,458,1198,960,103,452,1515
2020-02-11,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-11,Man Kam To,0,0,0,0,0,0,0,0
2020-02-11,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-11,Shenzhen Bay,561,80,4,645,1105,739,140,1984
2020-02-11,China Ferry Terminal,0,0,0,0,0,0,0,0
